gbifid	kingdom	family	scientificname	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	eventdate	day	month	year
1586946652	Plantae	Moraceae	Ficus carica L.	44.87613	14.444762	1376	2017-08-15T18:43Z	15	8	2017
1586946649	Plantae	Rhamnaceae	Paliurus spina-christi Miller	44.87518	14.445457	5	2017-08-15T18:35Z	15	8	2017
1586946612	Plantae	Apiaceae	Crithmum maritimum L.	44.875702	14.446136		2017-08-15T18:52Z	15	8	2017
1586946554	Plantae	Asteraceae	Helichrysum italicum (Roth) G.Don	44.875992	14.44485		2017-08-15T18:43Z	15	8	2017
1586946185	Plantae	Oleaceae	Olea europaea L.	43.298759	17.019066		2017-08-15T19:41Z	15	8	2017
1586946174	Plantae	Asteraceae	Dittrichia viscosa (L.) Greuter	43.298759	17.019066		2017-08-15T19:41Z	15	8	2017
1586946157	Plantae	Moraceae	Ficus carica L.	43.29879	17.019239		2017-08-15T19:42Z	15	8	2017
1586946133	Plantae	Apiaceae	Foeniculum vulgare Mill.	43.297016	17.021696	64	2017-08-15T19:51Z	15	8	2017
1586945662	Plantae	Smilacaceae	Smilax aspera L.	44.968773	14.392695		2017-08-14T21:04Z	14	8	2017
1586931459	Plantae	Lamiaceae	Salvia glutinosa L.	45.307195	14.717662		2017-08-11T20:31Z	11	8	2017
1586931368	Plantae	Balsaminaceae	Impatiens balfourii Hook. fil.	45.306703	14.716758		2017-08-11T20:12Z	11	8	2017
1586924323	Animalia	Emydidae	Trachemys scripta subsp. elegans (Wied, 1838)	45.779375	15.922472	27	2017-06-10T20:03Z	10	6	2017
1586922537	Animalia	Nymphalidae	Pyronia tithonus Linnaeus, 1771	44.234444	15.173056		2017-07-02T21:04Z	2	7	2017
1586921796	Animalia	Satyridae	Brintesia circe (Fabricius, 1775) Fabricius, 1775	43.558164	16.440868	48	2017-07-03T02:00Z	3	7	2017
1586921645	Plantae	Brassicaceae	Capsella bursa-pastoris (L.) Medik.	46.076408	15.676988	10	2017-06-25T19:12Z	25	6	2017
1586921644	Animalia	Rhaphidophoridae	Troglophilus neglectus Krauss, 1879	45.38531	13.92679	11	2017-06-28T15:55Z	28	6	2017
1586921643	Animalia	Rhaphidophoridae	Troglophilus neglectus Krauss, 1879	45.28743	13.63506	11	2017-06-28T17:24Z	28	6	2017
1586921577	Animalia	Nymphalidae	Argynnis niobe Alphéraky, 1881	43.550404	16.387192	12	2017-06-29T02:00Z	29	6	2017
1586921576	Animalia	Nymphalidae	Pararge aegeria Linnaeus, 1758	43.550518	16.38739	6	2017-06-27T02:00Z	27	6	2017
1586921575	Animalia	Rhaphidophoridae	Troglophilus neglectus Krauss, 1879	45.064536	14.065941	11	2017-06-24T20:41Z	24	6	2017
1586921555	Animalia	Tortricidae	Clepsis consimilana Hübner, 1820	43.550514	16.387385	6	2017-06-30T02:00Z	30	6	2017
1586921402	Animalia	Tortricidae	Cydia pomonella Linnaeus, 1758	43.550522	16.38738	6	2017-06-27T02:00Z	27	6	2017
1586917805	Animalia	Podicipedidae	Tachybaptus ruficollis (Pallas, 1764)	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586913321	Animalia	Sylviidae	Sylvia borin (Boddaert, 1783)	45.035553	13.889122	250	2017-08-05T02:00Z	5	8	2017
1586200572	Animalia	Charadriidae	Pluvialis squatarola (Linnaeus, 1758)	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586199488	Animalia	Picidae	Picus viridis Linnaeus, 1758	45.035553	13.889122	250	2017-08-05T02:00Z	5	8	2017
1586198506	Animalia	Accipitridae	Pernis apivorus (Linnaeus, 1758)	45.035553	13.889122	250	2017-07-31T02:00Z	31	7	2017
1586196903	Animalia	Passeridae	Passer domesticus (Linnaeus, 1758)	45.035553	13.889122	250	2017-08-05T02:00Z	5	8	2017
1586194939	Animalia	Nymphalidae	Melitaea didyma Esper, 1780	45.035553	13.889122	250	2017-07-31T02:00Z	31	7	2017
1586168028	Animalia	Nymphalidae	Limenitis reducta Staudinger, 1901	45.035553	13.889122	250	2017-07-31T02:00Z	31	7	2017
1586167328	Animalia	Laridae	Larus michahellis J. F. Naumann, 1840	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586162657	Animalia	Recurvirostridae	Himantopus himantopus (Linnaeus, 1758)	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586162439	Animalia	Hirundinidae	Hirundo rustica Linnaeus, 1758	45.035553	13.889122	250	2017-08-05T02:00Z	5	8	2017
1586160517	Animalia	Corvidae	Garrulus glandarius (Linnaeus, 1758)	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586159715	Plantae	Caryophyllaceae	Silene latifolia Poir.	45.306295	14.715462		2017-08-11T09:21Z	11	8	2017
1586127546	Animalia	Pinnidae	Pinna nobilis Linnaeus, 1758	43.891339	15.1594	8	2017-07-19T13:12Z	19	7	2017
1586127524	Animalia	Grapsidae	Pachygrapsus marmoratus (Fabricius, 1787)	43.891204	15.159137	8	2017-07-19T13:36Z	19	7	2017
1586123837	Plantae	Fabaceae	Robinia pseudoacacia L.	45.268734	13.660587	4	2017-08-02T17:55Z	2	8	2017
1586123794	Plantae	Cannabaceae	Celtis australis L.	45.268687	13.660628	4	2017-08-02T17:54Z	2	8	2017
1586123287	Animalia	Littorinidae	Melarhaphe neritoides (Linnaeus, 1758)	43.941254	15.162034	61	2017-07-18T16:59Z	18	7	2017
1586123236	Plantae	Apiaceae	Crithmum maritimum L.	43.941254	15.162163	61	2017-07-18T16:53Z	18	7	2017
1586123197	Animalia	Actiniidae	Anemonia viridis (Forskål, 1775)	43.941223	15.161777	61	2017-07-18T16:03Z	18	7	2017
1586120908	Plantae	Apiaceae	Crithmum maritimum L.	44.778525	13.916852	4	2017-08-01T15:16Z	1	8	2017
1586120872	Plantae	Fabaceae	Robinia pseudoacacia L.	44.778597	13.916875	4	2017-08-01T15:21Z	1	8	2017
1586120760	Plantae	Cupressaceae	Juniperus deltoides R.P. Adams	44.771291	13.907306	8	2017-08-01T12:33Z	1	8	2017
1586120489	Plantae	Anacardiaceae	Pistacia lentiscus L.	44.771429	13.907801	4	2017-08-01T12:32Z	1	8	2017
1586119078	Plantae	Moraceae	Ficus carica L.	43.889481	15.161133	1532	2017-07-26T18:12Z	26	7	2017
1586118684	Plantae	Moraceae	Ficus carica L.	44.783989	13.909071	3	2017-08-01T11:04Z	1	8	2017
1586116264	Plantae	Asparagaceae	Ruscus aculeatus L.	44.782459	13.909869	4128	2017-07-31T23:52Z	31	7	2017
1586116248	Plantae	Lauraceae	Laurus nobilis L.	44.792081	13.90538	2064	2017-07-31T23:37Z	31	7	2017
1586115861	Animalia	Aeshnidae	Aeshna affinis Vander Linden, 1820	45.025553	13.701947	29	2017-07-04T11:58Z	4	7	2017
1586115819	Animalia	Passeridae	Passer montanus (Linnaeus, 1758)	45.508687	16.213186	18	2017-07-08T11:17Z	8	7	2017
1586115799	Plantae	Papaveraceae	Glaucium flavum Crantz	45.024325	13.701442	15	2017-07-04T12:15Z	4	7	2017
1586115796	Animalia	Phalacrocoracidae	Microcarbo pygmeus (Pallas, 1773)	45.025986	13.70119	49	2017-07-04T11:20Z	4	7	2017
1586115764	Animalia	Ardeidae	Egretta garzetta (Linnaeus, 1766)	45.026228	13.701657	38	2017-07-04T11:21Z	4	7	2017
1586115715	Animalia	Nymphalidae	Lasiommata megera (Linnaeus, 1767) Linnaeus, 1767	43.907999	16.395767	9	2017-06-25T10:28Z	25	6	2017
1586115693	Animalia	Papilionidae	Iphiclides podalirius (Linnaeus, 1758)	43.907813	16.395941	13	2017-06-25T10:19Z	25	6	2017
1586115690	Animalia	Nymphalidae	Issoria lathonia Linnaeus, 1758	43.907872	16.395821	11	2017-06-25T10:24Z	25	6	2017
1586115684	Animalia	Pieridae	Pieris brassicae (Linnaeus, 1758)	43.907933	16.395818	14	2017-06-25T10:15Z	25	6	2017
1586115669	Animalia	Nymphalidae	Maniola jurtina Linnaeus, 1758	43.908049	16.395689	10	2017-06-25T10:23Z	25	6	2017
1586115668	Animalia	Nymphalidae	Melanargia galathea Linnaeus, 1758	43.975157	16.430587	14	2017-06-24T16:57Z	24	6	2017
1586115665	Animalia	Lycaenidae	Polyommatus daphnis (Denis & Schiffermüller, 1775)	43.909684	16.394396	14	2017-06-25T10:17Z	25	6	2017
1586115663	Animalia	Pieridae	Gonepteryx rhamni (Linnaeus, 1758)	43.908265	16.395652	20	2017-06-25T10:14Z	25	6	2017
1586115657	Animalia	Papilionidae	Papilio machaon Linnaeus, 1758	43.908644	16.395442	14	2017-06-25T10:17Z	25	6	2017
1586115577	Animalia	Arctiidae	Amata phegea Linnaeus, 1758	43.973197	16.431856	61	2017-06-24T16:55Z	24	6	2017
1586115549	Animalia	Calopterygidae	Calopteryx virgo Linnaeus, 1758	43.907242	16.396751	31	2017-06-17T11:00Z	17	6	2017
1586114974	Plantae	Apiaceae	Crithmum maritimum L.	43.882605	15.169888	61	2017-07-26T17:15Z	26	7	2017
1586114425	Animalia	Hirundinidae	Hirundo rustica Linnaeus, 1758	44.801309	13.910248	1032	2017-07-30T10:39Z	30	7	2017
1586111536	Animalia	Ciconiidae	Ciconia ciconia (Linnaeus, 1758)	45.609277	18.797865	122	2017-05-14T18:52Z	14	5	2017
1586111486	Animalia	Anatidae	Aix galericulata (Linnaeus, 1758)	45.83614	16.094299	27079	2017-05-20T15:54Z	20	5	2017
1586111221	Animalia	Lacertidae	Podarcis muralis (Laurenti, 1768)	45.803957	16.010149	25	2017-03-08T13:42Z	8	3	2017
1586109198	Plantae	Rosaceae	Prunus spinosa L.	44.799862	13.906714	4	2017-07-30T11:05Z	30	7	2017
1586098127	Plantae	Potamogetonaceae	Potamogeton natans L.	44.179722	15.8175		2017-07-05T14:01Z	5	7	2017
1586098119	Animalia	Gekkonidae	Hemidactylus turcicus (Linnaeus, 1758) Linnaeus, 1758	44.221944	15.175556		2017-07-03T22:16Z	3	7	2017
1586098117	Animalia	Pentatomidae	Eurydema dominulus (Scopoli, 1763) Scopoli, 1763	44.225278	15.171389		2017-07-04T22:13Z	4	7	2017
1586098116	Animalia	Lacertidae	Podarcis siculus (Rafinesque-schmaltz, 1810)	44.281667	15.124722		2017-07-04T22:11Z	4	7	2017
1586098112	Animalia	Lacertidae	Podarcis siculus (Rafinesque-schmaltz, 1810)	44.231152	15.167791	31	2017-07-03T15:08Z	3	7	2017
1586097455	Animalia	Ectobiidae	Loboptera decipiens (Germar, 1817)	44.232745	15.171369	688	2017-07-01T22:18Z	1	7	2017
1586097389	Animalia	Lacertidae	Lacerta trilineata Bedriaga, 1886	44.233055	15.171111		2017-07-01T21:50Z	1	7	2017
1586096689	Animalia	Lacertidae	Lacerta trilineata Bedriaga, 1886	45.056287	14.870768	122	2017-07-02T11:24Z	2	7	2017
1586096669	Animalia	Nymphalidae	Limenitis reducta Staudinger, 1901	43.558164	16.440868	48	2017-07-03T02:00Z	3	7	2017
1586096332	Animalia	Lacertidae	Podarcis muralis (Laurenti, 1768)	44.870837	13.845449	7	2017-06-22T17:53Z	22	6	2017
1586096316	Animalia	Lacertidae	Podarcis muralis (Laurenti, 1768)	45.243896	13.93658	23	2017-06-19T19:31Z	19	6	2017
1586096308	Animalia	Lacertidae	Podarcis muralis (Laurenti, 1768)	45.220859	14.046873	23	2017-06-19T16:46Z	19	6	2017
1586096305	Animalia	Unionidae	Unio crassus Philippson in Retzius, 1788	45.356956	13.938764	27174	2017-06-19T19:11Z	19	6	2017
1586095553	Plantae	Onagraceae	Epilobium hirsutum L.	45.815285	15.906794	10	2017-06-24T20:34Z	24	6	2017
1586094890	Animalia	Lacertidae	Podarcis siculus (Rafinesque-schmaltz, 1810)	43.907262	16.397959	4	2017-06-16T10:42Z	16	6	2017
1586094870	Animalia	Lacertidae	Podarcis melisellensis (Braun, 1877)	42.595428	18.245029	694	2017-06-10T02:25Z	10	6	2017
1586094439	Animalia	Lacertidae	Dalmatolacerta oxycephala (Duméril & Bibron, 1839)	42.635344	18.131062	77	2017-06-06T07:06Z	6	6	2017
1586094410	Animalia	Lacertidae	Lacerta Linnaeus, 1758	44.062026	16.144193	8	2017-06-08T09:22Z	8	6	2017
1586088352	Animalia	Rallidae	Fulica atra Linnaeus, 1758	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586081721	Animalia	Emberizidae	Emberiza cirlus Linnaeus, 1766	45.035553	13.889122	250	2017-08-05T02:00Z	5	8	2017
1586081599	Animalia	Ardeidae	Egretta alba (Linnaeus, 1758)	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586081597	Animalia	Ardeidae	Egretta garzetta (Linnaeus, 1766)	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586072836	Animalia	Accipitridae	Buteo buteo (Linnaeus, 1758)	45.035553	13.889122	250	2017-07-31T02:00Z	31	7	2017
1586071334	Animalia	Nymphalidae	Argynnis paphia Linnaeus, 1758	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586070031	Animalia	Anatidae	Anas platyrhynchos Linnaeus, 1758	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1586067841	Animalia	Scolopacidae	Actitis hypoleucos (Linnaeus, 1758)	45.029499	13.692741	250	2017-08-06T02:00Z	6	8	2017
1585342523	Animalia	Colubridae	Natrix tessellata (Laurenti, 1768)	44.871323	15.606251	250	2017-07-27T02:00Z	27	7	2017
1585331806	Animalia	Noctuidae	Euclidia glyphica Linnaeus, 1758	45.078732	14.1364	250	2017-05-24T02:00Z	24	5	2017
1585331793	Animalia	Noctuidae	Euclidia mi (Clerck, 1759) Clerck, 1759	45.078732	14.1364	250	2017-05-24T02:00Z	24	5	2017
1585331369	Animalia	Noctuidae	Euclidia glyphica Linnaeus, 1758	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1585331354	Animalia	Noctuidae	Euclidia mi (Clerck, 1759) Clerck, 1759	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1580507830	Animalia	Tortricidae	Pseudargyrotoza conwagana Fabricius, 1771	43.550512	16.387385	6	2017-07-03T02:00Z	3	7	2017
1580490897	Plantae	Araliaceae	Hedera helix L.	44.187778	15.822222		2017-07-05T15:00Z	5	7	2017
1580490877	Animalia	Calopterygidae	Calopteryx virgo Linnaeus, 1758	44.246389	15.810556		2017-07-05T14:00Z	5	7	2017
1580490871	Plantae	Alismataceae	Alisma lanceolatum With.	44.188056	15.818333		2017-07-05T14:43Z	5	7	2017
1580490860	Plantae	Moraceae	Ficus carica L.	44.231389	15.163889		2017-07-03T22:03Z	3	7	2017
1580490850	Animalia	Lycaenidae	Polyommatus icarus (Rottemburg, 1775)	44.16166	15.848533	4	2017-07-05T12:14Z	5	7	2017
1580490824	Plantae	Fabaceae	Lotus corniculatus L.	44.273889	15.126944		2017-07-04T22:38Z	4	7	2017
1580490821	Animalia	Acrididae	Oedaleus decorus (Germar, 1825)	44.213333	15.164167		2017-07-03T20:58Z	3	7	2017
