gbifid	kingdom	family	scientificname	countrycode	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	eventdate	day	month	year
1580135281	Plantae	Fabaceae	Lathyrus aphaca L.	HR	45.078732	14.1364	250	2017-05-24T02:00Z	24	5	2017
1585342523	Animalia	Colubridae	Natrix tessellata (Laurenti, 1768)	HR	44.871323	15.606251	250	2017-07-27T02:00Z	27	7	2017
1580202558	Animalia	Strigidae	Otus scops (Linnaeus, 1758)	HR	43.242828	17.087532	250	2017-06-13T02:00Z	13	6	2017
1580202927	Plantae	Oxalidaceae	Oxalis articulata Savigny	HR	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1580270672	Animalia	Tettigoniidae	Pholidoptera griseoaptera (De Geer, 1773)	HR	43.284321	17.09173	250	2017-06-10T02:00Z	10	6	2017
1580255873	Animalia	Tettigoniidae	Pholidoptera griseoaptera (De Geer, 1773)	HR	43.284321	17.09173	250	2017-06-06T02:00Z	6	6	2017
1621790625	Plantae	Dennstaedtiaceae	Pteridium aquilinum (L.) Kuhn	HR	45.122326	14.34698		2017-08-20T13:36Z	20	8	2017
1580397796	Plantae	Lamiaceae	Teucrium flavum L.	HR	45.078732	14.1364	250	2017-05-24T02:00Z	24	5	2017
1580397563	Plantae	Lamiaceae	Teucrium flavum L.	HR	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1580397274	Plantae	Lamiaceae	Teucrium flavum L.	HR	45.080399	14.144146	250	2017-05-22T02:00Z	22	5	2017
1580460883	Plantae	Zosteraceae	Zostera noltii Hornem.	HR	43.222797	17.000879	250	2017-06-13T02:00Z	13	6	2017
1580461152	Animalia	Zygaenidae	Zygaena lonicerae Scheven, 1777	HR	43.284321	17.09173	250	2017-06-06T02:00Z	6	6	2017
