"dwc:scientificName"
"apodemus epimelas"
"apodemus mystacinus"
"apodemus mystacinus epimelas"
"apodemus mystacinus ssp."
"apodemus sylvaticus"
"apodemus sylvaticus dichrurus"
"apodemus sylvaticus ssp."
"crocidura"
"dinaromys bogdanovi"
"glis glis"
"microtus (terricola) thomasi"
"mus (mus) spicilegus"
"mus musculus azoricus"
"mus musculus domesticus"
"muscardinus avellanarius"
"talpa caeca"
